episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
1622.5748425842723,-4208.952655237083,-563.1654065152698,3000.0,20,60000,False,660000,220,11,80a62af174064170875b539d853081e6,2023-04-24_20-37-25,1682368645,207.79883551597595,2262.868527650833,8673,ubuntu1804,10.128.0.3,2262.868527650833,660000,11,2,894c9fe2,0,4.764146485219343,1.2498421318967046,0.5989409710724557,658944,660000,199366.064,7.687,6069.758,3.71,51.76047297297297,24.29898648648649,0.10000000149011612,4.999999873689376e-05,101.11916,-0.004465074,101.122444,-4.967054e-09,0.011903405,-0.35426873,0.0
1977.7272006675553,-2834.7450184501067,-95.56218555388958,3000.0,20,60000,False,720000,240,12,80a62af174064170875b539d853081e6,2023-04-24_20-40-51,1682368851,206.53209686279297,2469.400624513626,8673,ubuntu1804,10.128.0.3,2469.400624513626,720000,12,2,894c9fe2,0,4.767863510374777,1.249897468220707,0.599063724111548,718848,720000,199686.088,7.665,6057.93,3.699,51.75796610169491,24.300000000000004,0.10000000149011612,4.999999873689376e-05,124.35824,-0.0031982833,124.36061,-7.0048194e-09,0.008314655,-0.4578224,0.0
2073.5565676306283,-2834.7450184501067,229.36673055018477,3000.0,20,60000,False,780000,260,13,80a62af174064170875b539d853081e6,2023-04-24_20-44-18,1682369058,206.6100709438324,2676.0106954574585,8673,ubuntu1804,10.128.0.3,2676.0106954574585,780000,13,2,894c9fe2,0,4.77166953022769,1.2502708959628996,0.599295177559434,778752,780000,199943.51,7.75,6052.936,3.718,51.758983050847455,24.309152542372885,0.05000000074505806,4.999999873689376e-05,187.66199,-0.0034339007,187.66435,-5.4764953e-09,0.021383412,-0.4076363,0.0
2080.585430941801,-2811.221316259612,499.34607361480215,3000.0,20,60000,False,840000,280,14,80a62af174064170875b539d853081e6,2023-04-24_20-47-43,1682369263,205.05865383148193,2881.0693492889404,8673,ubuntu1804,10.128.0.3,2881.0693492889404,840000,14,2,894c9fe2,0,4.774938245512076,1.2504502368200732,0.5995383924978731,838656,840000,200097.56,7.769,6046.906,3.835,51.747098976109214,24.366552901023894,0.05000000074505806,4.999999873689376e-05,214.91615,-0.0026251858,214.91824,-7.1321797e-09,0.01076874,-0.4401245,0.0
2218.603198147914,-4335.240506337221,585.4443272737255,3000.0,20,60000,False,900000,300,15,80a62af174064170875b539d853081e6,2023-04-24_20-51-08,1682369468,204.74953150749207,3085.8188807964325,8673,ubuntu1804,10.128.0.3,3085.8188807964325,900000,15,2,894c9fe2,0,4.776557076496665,1.2503547273844076,0.5998376919604843,898560,900000,200023.604,7.752,6036.059,3.838,51.83801369863014,24.38869863013699,0.05000000074505806,4.999999873689376e-05,278.26886,-0.0022348105,278.2705,-4.584973e-09,0.012295193,-0.5353429,0.0
2395.1284041863455,-4335.240506337221,510.60858700606417,3000.0,20,60000,False,960000,320,16,80a62af174064170875b539d853081e6,2023-04-24_20-54-32,1682369672,203.8157720565796,3289.634652853012,8673,ubuntu1804,10.128.0.3,3289.634652853012,960000,16,2,894c9fe2,0,4.776095117752707,1.2497233090407287,0.6000779573534671,958464,960000,199826.781,7.764,6027.622,3.984,51.76357388316151,24.39450171821306,0.05000000074505806,4.999999873689376e-05,282.40793,-0.0050960532,282.41153,-7.641621e-10,0.029811999,-0.50112146,0.0
2395.467467885467,-4335.240506337221,499.4857411182171,3000.0,20,60000,False,1020000,340,17,80a62af174064170875b539d853081e6,2023-04-24_20-57-57,1682369877,205.20314478874207,3494.837797641754,8673,ubuntu1804,10.128.0.3,3494.837797641754,1020000,17,2,894c9fe2,0,4.774861831312751,1.2494719488361126,0.6003573195511082,1018368,1020000,199686.253,7.781,6025.079,4.082,51.824657534246576,24.396232876712332,0.05000000074505806,4.999999873689376e-05,217.68823,-0.0013996395,217.68925,-3.0566485e-09,0.007662014,-0.7307319,0.0
2645.300162467758,-4335.240506337221,678.1207046868526,3000.0,20,60000,False,1080000,360,18,80a62af174064170875b539d853081e6,2023-04-24_21-01-23,1682370083,206.06735587120056,3700.9051535129547,8673,ubuntu1804,10.128.0.3,3700.9051535129547,1080000,18,2,894c9fe2,0,4.7735287636241885,1.2489630863557293,0.6005714821930355,1078272,1080000,199793.162,7.783,6020.135,4.069,51.809863945578236,24.398639455782316,0.02500000037252903,4.999999873689376e-05,167.25134,-0.0015547833,167.25255,-2.8019278e-09,0.013428144,-1.0151205,0.0
2645.300162467758,-4335.240506337221,818.7038294331645,3000.0,20,60000,False,1140000,380,19,80a62af174064170875b539d853081e6,2023-04-24_21-04-49,1682370289,205.6609079837799,3906.5660614967346,8673,ubuntu1804,10.128.0.3,3906.5660614967346,1140000,19,2,894c9fe2,0,4.772478211609972,1.2485247192110434,0.6007641375418694,1138176,1140000,199818.706,7.832,6013.078,4.152,51.77959183673469,24.400000000000006,0.02500000037252903,4.999999873689376e-05,223.30159,-0.0017067749,223.30298,-7.3869004e-09,0.011741337,-0.9758675,0.0
2645.300162467758,-2952.29670088654,916.956626031186,3000.0,20,60000,False,1200000,400,20,80a62af174064170875b539d853081e6,2023-04-24_21-08-14,1682370494,205.17881870269775,4111.744880199432,8673,ubuntu1804,10.128.0.3,4111.744880199432,1200000,20,2,894c9fe2,0,4.771562190705643,1.2484856478024802,0.6009523415307143,1198080,1200000,199641.758,7.793,6005.008,4.147,51.8617747440273,24.400000000000002,0.02500000037252903,4.999999873689376e-05,115.76617,-0.0028252238,115.76861,-1.3627558e-08,0.015609198,-0.9461859,0.0
